latitude_bin,longitude_bin,type,subtype,updated_type,updated_subtype,updated_subsubtype,alert_count
41.890000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,2169
41.810000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2158
41.710000,-87.610000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2103
41.660000,-87.600000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2090
41.690000,-87.600000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2089
41.870000,-87.680000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2080
41.930000,-87.700000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2064
41.750000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2014
41.870000,-87.670000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,2013
41.930000,-87.700000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,2007
41.930000,-87.710000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1979
41.870000,-87.750000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1958
41.840000,-87.660000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1955
41.970000,-87.780000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1918
41.970000,-87.750000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1911
41.870000,-87.760000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1905
41.870000,-87.690000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1902
41.710000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1893
41.870000,-87.720000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1893
41.910000,-87.670000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1866
41.840000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1865
41.870000,-87.740000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1857
41.740000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1853
41.970000,-87.780000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1845
41.970000,-87.750000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1815
41.920000,-87.690000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1797
41.810000,-87.750000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1786
41.940000,-87.720000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1776
41.760000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1761
41.770000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1738
41.980000,-87.790000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1726
41.840000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1718
41.970000,-87.750000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1714
41.890000,-87.620000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1702
41.860000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1697
41.930000,-87.710000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1688
41.910000,-87.670000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1670
41.920000,-87.680000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1641
41.880000,-87.650000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1627
41.870000,-87.710000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1621
41.950000,-87.740000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1614
41.700000,-87.600000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1607
41.870000,-87.770000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1605
41.950000,-87.730000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1588
41.710000,-87.620000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1587
41.850000,-87.650000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1576
41.980000,-87.660000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1574
41.870000,-87.780000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1564
41.920000,-87.690000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1563
41.680000,-87.610000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1535
41.830000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1534
41.980000,-87.820000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1529
41.830000,-87.680000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1528
41.870000,-87.770000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1514
41.930000,-87.700000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1514
41.850000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1487
41.870000,-87.700000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1446
41.980000,-87.800000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1420
41.980000,-87.790000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1420
41.860000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1403
41.840000,-87.640000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1399
41.850000,-87.620000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1375
41.950000,-87.730000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1369
41.870000,-87.770000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1368
41.980000,-87.800000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1363
41.830000,-87.700000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1355
41.890000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1341
41.980000,-87.660000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1324
41.940000,-87.730000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1319
41.870000,-87.660000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1297
41.840000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1279
41.840000,-87.650000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1274
41.880000,-87.620000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1264
41.900000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1258
41.890000,-87.620000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1249
41.670000,-87.610000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1239
41.870000,-87.620000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1227
41.980000,-87.840000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1216
41.910000,-87.680000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1208
41.940000,-87.730000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1200
41.950000,-87.730000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1194
41.830000,-87.690000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1188
41.860000,-87.620000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1178
41.820000,-87.710000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1177
41.980000,-87.670000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1177
41.910000,-87.660000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1172
41.810000,-87.750000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1164
41.840000,-87.620000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1134
41.970000,-87.770000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1127
41.890000,-87.660000,JAM,Unclassified,Jam,Unclassified,Unclassified,1126
41.980000,-87.810000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1124
41.900000,-87.660000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1105
41.820000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1066
41.920000,-87.680000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1066
41.880000,-87.650000,ROAD_CLOSED,Unclassified,Road Closed,Unclassified,Unclassified,1057
41.980000,-87.830000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1044
41.900000,-87.630000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1035
41.930000,-87.640000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1017
41.980000,-87.750000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1010
41.800000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,1010
41.940000,-87.730000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,1008
41.810000,-87.740000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,1005
41.870000,-87.670000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,977
41.870000,-87.760000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,977
41.920000,-87.680000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,960
41.830000,-87.680000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,959
41.880000,-87.620000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,956
41.980000,-87.810000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,937
41.870000,-87.620000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,930
41.840000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,928
41.980000,-87.670000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,927
41.840000,-87.660000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,925
41.900000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,922
41.880000,-87.650000,JAM,Unclassified,Jam,Unclassified,Unclassified,913
41.900000,-87.670000,JAM,Unclassified,Jam,Unclassified,Unclassified,910
41.830000,-87.640000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,905
41.820000,-87.740000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,905
41.920000,-87.700000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,895
41.820000,-87.730000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,894
41.920000,-87.670000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,893
41.810000,-87.750000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,889
41.870000,-87.760000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,888
41.870000,-87.670000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,878
41.710000,-87.600000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,878
41.840000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,875
41.920000,-87.710000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,874
41.830000,-87.610000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,872
41.980000,-87.750000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,870
41.870000,-87.740000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,867
41.980000,-87.820000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,863
41.870000,-87.650000,JAM,Unclassified,Jam,Unclassified,Unclassified,861
41.880000,-87.640000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,858
41.980000,-87.820000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,856
41.710000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,855
41.870000,-87.740000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,848
41.920000,-87.670000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,844
41.950000,-87.750000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,837
41.830000,-87.670000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,826
41.760000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,825
41.810000,-87.760000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,819
41.980000,-87.800000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,815
41.980000,-87.830000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,813
41.880000,-87.630000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,807
41.950000,-87.650000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,800
41.930000,-87.720000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,799
41.910000,-87.680000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,798
41.720000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,791
41.990000,-87.770000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,786
41.860000,-87.620000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,784
41.940000,-87.710000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,781
41.970000,-87.760000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,781
41.980000,-87.760000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,780
41.980000,-87.750000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,780
41.830000,-87.670000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,775
41.880000,-87.620000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,770
41.890000,-87.630000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,770
41.730000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,769
41.830000,-87.700000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,768
41.870000,-87.750000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,765
41.740000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,762
41.870000,-87.630000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,748
41.790000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,746
41.990000,-87.680000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,745
41.830000,-87.690000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,745
41.870000,-87.660000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,734
41.960000,-87.750000,JAM,Unclassified,Jam,Unclassified,Unclassified,730
41.830000,-87.700000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,728
41.890000,-87.640000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,726
41.810000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,724
41.910000,-87.660000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,721
41.910000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,719
41.810000,-87.630000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,717
41.690000,-87.600000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,712
41.810000,-87.600000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,707
41.870000,-87.660000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,695
41.870000,-87.750000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,694
41.890000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,693
41.820000,-87.640000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,692
41.930000,-87.720000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,689
41.910000,-87.670000,JAM,Unclassified,Jam,Unclassified,Unclassified,687
41.750000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,686
41.870000,-87.670000,HAZARD,HAZARD_ON_ROAD_CONSTRUCTION,Hazard,On Road,Construction,684
41.780000,-87.640000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,683
41.970000,-87.760000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,683
41.670000,-87.600000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,680
41.940000,-87.720000,JAM,Unclassified,Jam,Unclassified,Unclassified,679
41.930000,-87.680000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,678
41.870000,-87.680000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,677
41.870000,-87.730000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,676
41.950000,-87.650000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,670
41.910000,-87.680000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,654
41.930000,-87.680000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,642
41.920000,-87.690000,JAM,Unclassified,Jam,Unclassified,Unclassified,637
41.770000,-87.630000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,637
41.940000,-87.710000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,636
41.800000,-87.640000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,632
41.980000,-87.760000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,626
41.980000,-87.790000,JAM,Unclassified,Jam,Unclassified,Unclassified,626
41.980000,-87.660000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,626
41.840000,-87.630000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,621
41.870000,-87.720000,JAM,JAM_HEAVY_TRAFFIC,Jam,Traffic,Heavy,617
41.710000,-87.590000,HAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,Hazard,On Shoulder,Car Stopped,617
41.920000,-87.700000,JAM,JAM_STAND_STILL_TRAFFIC,Jam,Traffic,Stand Still,615
